Timestamp;Username;Navn;Afdeling;PCNavn;OS;Producent;Model1;Model2;S/N;PC-AD-Status
05/09/20 09:45;N1M456;Uriel Hill;AFE Projekter;PC5004918;Windows 10;American Megatrends Inc.;Surface Pro 3;1;033880650753;Deaktiveret
07/10/20 07:14;N1M305;Jamison Maxwell;AFE Ledningsafsnit;PC5004942;Windows 10;Dell Inc.;Latitude E7250;;H814462;Aktiv
05/10/20 10:30;N1M306;Travis Berger;AFE Decentrale Værker;PC5004948;Windows 10;American Megatrends Inc.;Surface Pro 3;1;012094551853;Aktiv
07/09/20 06:30;N1M510;Donald Hodge;AFE Net Drift;PC5004957;Windows 10;American Megatrends Inc.;Surface Pro 3;1;027703252453;Aktiv
07/10/20 06:15;N1M307;Elsa Krause;AFE Ledningsafsnit;PC5004958;Windows 10;Dell Inc.;Latitude E7250;;3N4TC72;Aktiv
07/10/20 06:33;N1M308;Lila Rivers;AFE Projekter;PC5004971;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0D7D9P;Aktiv
07/10/20 07:28;N1M309;Libby Meza;AFE Ledningsafsnit;PC5004976;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0FGJ3U;Aktiv
07/10/20 08:06;N1M310;Kaylee Rose;AFE Ledningsafsnit;PC5004977;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0FGJ3T;Aktiv
18/09/20 07:56;N1M294;Alana Gutierrez;AFE Forretningsudvikling;PC5004978;Windows 10;Dell Inc.;Latitude E5570;;5P80QC2;Aktiv
07/10/20 09:22;N1M311;Derek Hatfield;AFE Ledningsafsnit;PC5004981;Windows 10;LENOVO;20EQS22100;ThinkPad P50;PC0GWKU6;Aktiv
07/10/20 07:52;N1M312;Madden Cline;AFE Ledningsafsnit;PC5004982;Windows 10;LENOVO;20EQS22100;ThinkPad P50;PC0GWKU8;Aktiv
07/10/20 07:55;N1M313;Lia Howell;AFE Ledningsafsnit;PC5004983;Windows 10;LENOVO;20EQS22100;ThinkPad P50;PC0GWKU7;Aktiv
07/10/20 08:07;N1M314;Quentin Wilkerson;AFE Ledningsafsnit;PC5004985;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0GCCBN;Aktiv
